10011510,11321,1
10011510,16361,5
10011510,18743,3
10011510,37830,4
10011510,7212,3
10011877,10480,5
10011877,24416,4
10011877,6324,5
10011877,7194,5
10012656,17916,5
10012656,21710,5
10012656,33987,5
10012656,4004,5
10012656,7130,4
10012656,9232,5
10016008,11108,5
10016008,16697,5
10016008,22938,5
10016008,23437,4
10017484,10033,5
10017484,11108,5
10017484,28483,1
10019238,10751,5
10019238,32600,4
10019238,9297,5
10019238,9345,5
10025420,2348,4
10043584,26413,4
10043584,3214,5
10043584,38754,5
10044344,16687,5
10044344,21692,4
10044344,32637,5
10044377,10375,5
10044377,30584,4
10044377,3224,5
10049546,25276,4
10049546,27704,4
10049546,28129,5
10049546,28415,5
10049546,33446,5
10049546,5167,5
10049546,6473,4
10049546,7769,5
10050526,13559,3
10050526,13591,3
10050526,23437,4
10050526,32353,4
10051427,22244,5
10051427,38215,5
10051427,9955,5
10052066,18529,3
10052066,28625,5
10052066,33338,4
10052066,7215,4
10052336,27175,2
10052336,7194,5
10057999,12007,3
10057999,17332,4
10057999,31739,4
10057999,6442,5
10058583,21479,2
10058583,37717,5
10058583,38506,4
10058583,4779,3
10060248,11048,5
10060248,15487,5
10060248,17682,5
10060248,19550,4
10060248,26355,4
10060248,27205,5
10060248,32353,4
10060248,32744,5
10060248,33898,4
10060248,36066,5
10062530,24751,5
10062530,35911,1
10062530,36598,5
10074076,38989,1
10074076,39475,4
10085295,12961,3
10085295,37307,5
10085295,6442,4
1009980,11108,5
1009980,2908,4
10100017,17396,5
10100017,30887,5
10100017,38725,5
10100540,22251,5
10100540,38268,4
1010133,10375,5
1010133,9654,5
10102208,24147,4
10102208,5052,4
10108881,10375,5
10108881,18741,5
10108881,39129,5
10117827,21280,4
10117827,4003,5
10118956,23496,5
10118956,38755,4
10118956,6507,2
10133137,16682,5
10133137,23882,2
10133137,25224,5
10133137,27337,4
10133137,4227,5
10142325,28726,4
10142325,32353,4
10142325,36589,5
10149925,19474,5
10149925,26365,2
10149925,37034,3
10151338,16191,4
10151338,26880,5
10151338,34056,4
10151338,35757,5
1015235,10229,5
1015235,18376,5
1015235,22703,4
1015235,28814,5
1015235,38735,5
10161323,19699,5
10161323,2908,3
10161323,29981,5
10161323,36115,5
10162665,10033,5
10162665,11108,5
10162665,12203,5
10162665,13161,4
10162665,27930,5
10168575,12203,4
10168575,25729,4
10168575,25785,4
10168575,34759,4
10168575,7130,4
10169591,10515,4
10169591,21710,5
10169591,25276,3
10169591,3799,5
10170059,10033,5
10170059,11872,5
10170059,16357,5
10170059,17283,5
10170059,20490,5
10170059,20662,5
10170059,2798,5
10172547,19550,5
10179890,10375,5
10179890,29981,5
10179890,30249,4
10179890,36676,5
